No.,Time,Source,Destination,Protocol,Length,Info
1,2019/297 14:10:32.010330000,192.168.1.4,157.240.2.20,TLSv1.2,98,Application Data
2,2019/297 14:10:32.035695000,157.240.2.20,192.168.1.4,TLSv1.2,94,Application Data
3,2019/297 14:10:32.075271000,192.168.1.4,157.240.2.20,TCP,66,7996  >  443 [ACK] Seq=33 Ack=29 Win=513 Len=0 TSval=998566069 TSecr=2654521632
4,2019/297 14:10:36.838311000,192.168.1.4,239.255.255.250,SSDP,216,M-SEARCH * HTTP/1.1 
6,2019/297 14:10:37.004982000,13.249.141.49,192.168.1.4,TCP,78,443  >  8048 [ACK] Seq=1 Ack=2 Win=122 Len=0 TSval=2382595772 TSecr=998345939 SLE=1 SRE=2
7,2019/297 14:10:37.839595000,192.168.1.4,239.255.255.250,SSDP,216,M-SEARCH * HTTP/1.1 
8,2019/297 14:10:38.840188000,192.168.1.4,239.255.255.250,SSDP,216,M-SEARCH * HTTP/1.1 
9,2019/297 14:10:39.842123000,192.168.1.4,239.255.255.250,SSDP,216,M-SEARCH * HTTP/1.1 
10,2019/297 14:10:40.995217000,192.168.1.4,172.217.4.238,UDP,65,62912  >  443 Len=23
11,2019/297 14:10:41.038665000,172.217.4.238,192.168.1.4,UDP,62,443  >  62912 Len=20
12,2019/297 14:10:43.010462000,192.168.1.4,157.240.2.20,TLSv1.2,98,Application Data
13,2019/297 14:10:43.036861000,157.240.2.20,192.168.1.4,TLSv1.2,94,Application Data
14,2019/297 14:10:43.077701000,192.168.1.4,157.240.2.20,TCP,66,7996  >  443 [ACK] Seq=65 Ack=57 Win=512 Len=0 TSval=998577071 TSecr=2654532632
16,2019/297 14:10:50.630537000,74.125.69.188,192.168.1.4,TCP,78,5228  >  6928 [ACK] Seq=1 Ack=2 Win=293 Len=0 TSval=3526007989 TSecr=997143657 SLE=1 SRE=2
17,2019/297 14:10:50.633237000,192.168.1.4,172.217.4.238,UDP,738,62912  >  443 Len=696
18,2019/297 14:10:50.671341000,172.217.4.238,192.168.1.4,UDP,316,443  >  62912 Len=274
19,2019/297 14:10:50.671341000,172.217.4.238,192.168.1.4,UDP,103,443  >  62912 Len=61
20,2019/297 14:10:50.671619000,192.168.1.4,172.217.4.238,UDP,70,62912  >  443 Len=28
21,2019/297 14:10:51.904171000,13.249.141.49,192.168.1.4,TLSv1.2,97,Encrypted Alert
22,2019/297 14:10:51.904172000,13.249.141.49,192.168.1.4,TCP,66,"443  >  8048 [FIN, ACK] Seq=32 Ack=2 Win=122 Len=0 TSval=2382597262 TSecr=998345939"
23,2019/297 14:10:51.904333000,192.168.1.4,13.249.141.49,TCP,66,8048  >  443 [ACK] Seq=2 Ack=33 Win=511 Len=0 TSval=998585898 TSecr=2382597262
24,2019/297 14:10:54.010258000,192.168.1.4,157.240.2.20,TLSv1.2,98,Application Data
25,2019/297 14:10:54.034944000,157.240.2.20,192.168.1.4,TLSv1.2,94,Application Data
26,2019/297 14:10:54.075449000,192.168.1.4,157.240.2.20,TCP,66,7996  >  443 [ACK] Seq=97 Ack=85 Win=512 Len=0 TSval=998588069 TSecr=2654543631
148,2019/297 14:10:59.625437000,192.168.1.4,172.217.6.3,TCP,74,8051  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1 TSval=998593619 TSecr=0
149,2019/297 14:10:59.626227000,192.168.1.4,172.217.6.3,TCP,74,8052  >  80 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1 TSval=998593620 TSecr=0
151,2019/297 14:10:59.642485000,192.168.1.4,172.217.6.3,TCP,66,8051  >  80 [ACK] Seq=1 Ack=1 Win=131328 Len=0 TSval=998593636 TSecr=553386968
154,2019/297 14:10:59.649013000,192.168.1.4,172.217.6.3,TCP,66,8052  >  80 [ACK] Seq=1 Ack=1 Win=131328 Len=0 TSval=998593643 TSecr=553386974
170,2019/297 14:11:00.994330000,192.168.1.4,74.125.70.108,TCP,66,6824  >  993 [ACK] Seq=124 Ack=551 Win=510 Len=0 TSval=998594988 TSecr=2402024959
187,2019/297 14:11:03.623435000,192.168.1.4,104.26.0.97,TCP,74,8053  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1 TSval=998597617 TSecr=0
188,2019/297 14:11:03.624552000,192.168.1.4,104.26.0.97,TCP,74,8054  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1 TSval=998597618 TSecr=0
254,2019/297 14:11:04.011839000,192.168.1.4,104.19.197.151,TCP,74,8055  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1 TSval=998598005 TSecr=0
255,2019/297 14:11:04.012915000,192.168.1.4,172.217.0.1,TCP,74,8056  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1 TSval=998598006 TSecr=0
261,2019/297 14:11:04.038083000,192.168.1.4,172.217.0.1,TCP,66,8056  >  443 [ACK] Seq=1 Ack=1 Win=131328 Len=0 TSval=998598032 TSecr=1612726241
272,2019/297 14:11:04.073164000,192.168.1.4,13.249.94.134,TCP,74,8057  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1 TSval=998598067 TSecr=0
292,2019/297 14:11:04.090241000,192.168.1.4,13.249.94.134,TCP,66,8057  >  443 [ACK] Seq=1 Ack=1 Win=131584 Len=0 TSval=998598084 TSecr=2978533433
311,2019/297 14:11:04.174381000,192.168.1.4,13.249.94.134,TCP,66,8057  >  443 [ACK] Seq=1074 Ack=566 Win=131072 Len=0 TSval=998598168 TSecr=2978533437
312,2019/297 14:11:04.183161000,192.168.1.4,104.19.197.151,TCP,74,8058  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1 TSval=998598177 TSecr=0
371,2019/297 14:11:04.430692000,192.168.1.4,172.217.0.1,TCP,74,8059  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1 TSval=998598424 TSecr=0
372,2019/297 14:11:04.431470000,192.168.1.4,172.217.0.1,TCP,74,8060  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1 TSval=998598424 TSecr=0
373,2019/297 14:11:04.432063000,192.168.1.4,172.217.0.1,TCP,74,8061  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1 TSval=998598426 TSecr=0
374,2019/297 14:11:04.449394000,192.168.1.4,172.217.0.1,TCP,74,8062  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1 TSval=998598443 TSecr=0
379,2019/297 14:11:04.454907000,192.168.1.4,172.217.0.1,TCP,66,8060  >  443 [ACK] Seq=1 Ack=1 Win=131328 Len=0 TSval=998598448 TSecr=1482168903
380,2019/297 14:11:04.454991000,192.168.1.4,172.217.0.1,TCP,66,8061  >  443 [ACK] Seq=1 Ack=1 Win=131328 Len=0 TSval=998598448 TSecr=1626904836
381,2019/297 14:11:04.455038000,192.168.1.4,172.217.0.1,TCP,66,8059  >  443 [ACK] Seq=1 Ack=1 Win=131328 Len=0 TSval=998598448 TSecr=2010033162
389,2019/297 14:11:04.473723000,192.168.1.4,172.217.0.1,TCP,66,8062  >  443 [ACK] Seq=1 Ack=1 Win=131328 Len=0 TSval=998598467 TSecr=1842016278
433,2019/297 14:11:04.514739000,192.168.1.4,172.217.0.1,TCP,66,8059  >  443 [ACK] Seq=1507 Ack=6207 Win=131328 Len=0 TSval=998598508 TSecr=2010033224
440,2019/297 14:11:04.515697000,192.168.1.4,172.217.0.1,TCP,66,8059  >  443 [ACK] Seq=1546 Ack=7808 Win=131328 Len=0 TSval=998598509 TSecr=2010033225
443,2019/297 14:11:04.516480000,192.168.1.4,172.217.0.1,TCP,66,8059  >  443 [ACK] Seq=1546 Ack=10644 Win=131328 Len=0 TSval=998598510 TSecr=2010033226
446,2019/297 14:11:04.517626000,192.168.1.4,172.217.0.1,TCP,66,8059  >  443 [ACK] Seq=1546 Ack=13480 Win=131328 Len=0 TSval=998598511 TSecr=2010033227
535,2019/297 14:11:04.558542000,192.168.1.4,172.217.0.1,TCP,66,8059  >  443 [ACK] Seq=1546 Ack=78708 Win=131328 Len=0 TSval=998598552 TSecr=2010033260
541,2019/297 14:11:04.559561000,192.168.1.4,172.217.0.1,TCP,66,8059  >  443 [ACK] Seq=1546 Ack=82917 Win=131328 Len=0 TSval=998598553 TSecr=2010033263
910,2019/297 14:11:05.083516000,192.168.1.4,157.240.2.20,TCP,66,7996  >  443 [ACK] Seq=129 Ack=113 Win=512 Len=0 TSval=998599077 TSecr=2654554639
1073,2019/297 14:11:05.228563000,192.168.1.4,172.217.8.195,TCP,74,8063  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1 TSval=998599222 TSecr=0
1082,2019/297 14:11:05.248761000,192.168.1.4,172.217.8.195,TCP,66,8063  >  443 [ACK] Seq=1 Ack=1 Win=131328 Len=0 TSval=998599242 TSecr=1021373673
1281,2019/297 14:11:05.314102000,192.168.1.4,172.217.8.195,TCP,66,8063  >  443 [ACK] Seq=1893 Ack=4378 Win=130560 Len=0 TSval=998599308 TSecr=1021373739
1287,2019/297 14:11:05.325474000,192.168.1.4,172.217.8.195,TCP,66,8063  >  443 [ACK] Seq=1924 Ack=5377 Win=131328 Len=0 TSval=998599319 TSecr=1021373751
1649,2019/297 14:11:16.072856000,192.168.1.4,157.240.2.20,TCP,66,7996  >  443 [ACK] Seq=161 Ack=141 Win=512 Len=0 TSval=998610066 TSecr=2654565630
